m/z	intensity
817.564246	1085.96
817.581241	1111.76
817.598236	1077.73
817.615231	956.863
817.632226	793.255
817.649222	653.647
817.666218	565.726
817.683214	505.255
817.70021	458.824
817.717206	420.471
817.734202	385.02
817.751199	358.667
817.768196	338.824
817.785193	320.078
817.80219	292.941
817.819187	262.824
817.836185	231.922
817.853183	208
817.870181	193.412
817.887179	186.275
817.904177	187.216
817.921175	186.275
817.938174	178.039
817.955173	169.961
817.972172	170.667
817.989171	178.275
818.00617	178.588
818.023169	180.235
818.040169	177.098
818.057169	157.961
818.074169	152.314
818.091169	160.863
818.108169	181.961
818.12517	195.451
818.142171	202.588
818.159172	197.569
818.176173	196.784
818.193174	197.412
818.210175	226.039
818.227177	262.902
818.244179	293.02
818.261181	330.039
818.278183	383.216
818.295185	408.157
818.312188	428.706
818.32919	491.294
818.346193	572.627
818.363196	622.431
818.380199	624.314
818.397203	632.078
818.414206	673.569
818.43121	698.275
818.448214	699.922
818.465218	742.431
818.482222	837.726
818.499226	953.255
818.516231	1100.94
818.533236	1264
818.550241	1400.47
818.567246	1434.35
818.584251	1338.59
818.601257	1147.84
818.618262	944.392
818.635268	743.059
818.652274	585.569
818.66928	512.706
818.686287	491.137
818.703293	450.51
818.7203	401.176
818.737307	366.902
818.754314	360.314
818.771321	341.49
818.788329	314.118
818.805336	285.176
818.822344	266.275
818.839352	235.216
818.85636	216.627
818.873368	211.529
818.890377	196.941
818.907386	183.294
818.924394	183.608
818.941403	183.294
818.958413	171.137
818.975422	159.373
818.992432	167.451
819.009441	170.98
819.026451	182.275
819.043461	197.412
819.060471	201.804
819.077482	188
819.094493	195.922
819.111503	207.373
819.128514	202.275
819.145525	184.235
819.162537	178.196
819.179548	184.392
819.19656	202.353
819.213572	216.863
819.230584	240.549
819.247596	269.804
819.264608	306.118
819.281621	329.333
819.298634	367.922
819.315646	423.137
819.33266	496.863
819.349673	565.098
819.366686	599.765
819.3837	608.706
819.400714	602.902
819.417728	611.059
819.434742	638.667
819.451756	677.647
819.468771	729.569
819.485785	784
819.5028	876.392
819.519815	1003.76
819.53683	1139.69
819.553846	1215.53
819.570861	1237.41
819.587877	1175.06
819.604893	1020
819.621909	822.118
819.638925	649.804
819.655942	523.922
819.672958	418.902
819.689975	354.431
819.706992	347.059
819.724009	346.745
819.741026	338.902
819.758044	309.02
819.775062	282.353
819.792079	256
819.809097	237.333
819.826116	215.608
819.843134	199.608
819.860153	190.51
819.877171	178.824
